px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0	0	0	0	0	0	0	0	0	0	0	4.94066e-324
0	0	0	0	0	0	0	0	0	0	0	2.17063e-314
1.55945	-0.138501	0	-0.0885822	0	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	4.94066e-324
1.12728	0.760308	2.28517	-0.0885822	0	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	1.8155
3.87619	-0.134286	2.42477	-0.00839884	0.0148186	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	1.45344
3.94689	0.0729026	2.5761	0.0328666	0.0492578	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	4.43809
6.84634	0.395996	2.84754	-0.296328	0.142608	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	1.52065
6.76616	0.414894	2.97339	-0.22062	-0.303007	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	1.81481
9.0619	0.575274	3.14265	-0.0822549	2.15407	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	1.20228
9.03005	0.648245	3.22019	-0.0220665	2.31312	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	1.52278
11.5575	1.64431	3.41918	1.17575	1.98166	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	2.23296
11.5464	1.60626	3.4213	0.440412	0.886859	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	1.12878
13.5841	2.31014	3.44944	0.41428	0.189585	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	0.367369
13.5872	2.27439	3.03395	0.479765	0.284985	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	0.886545
16.6078	2.89264	3.28376	0.00356172	-0.2128	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	1.543
16.5403	2.87263	3.04975	-0.0321975	-0.277601	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	1.26298
19.0183	3.6916	2.88959	0.372577	0.162495	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0.829049
19.0827	3.71754	2.7602	0.430256	0.231275	19.363	3.87122	18.923	3.74161	2.61382	0.95648	1.44101
21.3239	4.73334	2.7904	0.466659	0.10529	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.0874685
21.3854	4.74218	2.92312	0.429581	0.0519881	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	0.865573
24.0545	5.56662	3.07288	0.19943	-0.127781	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0.450408
24.1598	5.60032	3.18733	0.187132	-0.134792	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	3.07371
26.6112	6.95137	3.13902	0.601188	0.213504	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	0.511387
26.5991	6.94287	3.21412	0.568221	0.16111	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.10862
29.5547	8.081	3.36453	0.257828	-0.145227	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	0.902649
29.5392	8.07614	3.22313	0.252701	-0.151898	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.22234
31.9475	9.86764	3.20281	0.794815	0.293124	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	0.810908
31.9039	9.84385	3.22399	0.765417	0.251134	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	0.693537
34.6207	10.732	2.68346	0.245304	-0.243153	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	1.94307
34.7205	10.7798	2.95557	0.247391	-0.222741	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	2.69557
37.1397	12.0765	2.97536	0.568086	0.127146	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	0.502231
37.2188	12.0978	3.15134	0.533933	0.0657484	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	1.6397
40.2852	13.4512	3.49806	0.288841	-0.136503	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	1.47408
40.2194	13.4279	3.22809	0.283513	-0.152972	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	1.33474
42.7671	14.821	3.23272	0.56607	0.125673	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0.313183
42.7441	14.8134	3.28064	0.54961	0.0997806	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	0.203675
45.3402	16.5439	3.44098	0.591329	0.0610457	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0.252066
45.3853	16.5606	3.37863	0.608039	0.103159	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	0.800352
48.1587	17.299	3.15112	0.170238	-0.241868	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	0.679428
48.1315	17.2859	3.00489	0.146562	-0.286306	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	0.332593
50.621	19.0511	2.91383	0.831484	0.338885	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	1.67989
50.6045	19.0257	3.08758	0.721656	0.16914	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	0.531962
53.6904	19.899	3.06841	0.0393931	-0.388006	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	2.06416
53.6607	19.8851	3.01037	0.0300819	-0.410864	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	0.262586
56.0606	21.0676	2.60919	0.468393	0.135257	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	2.16844
56.0322	21.0478	2.71235	0.427895	0.0903339	55.867	20.985	55.9669	20.9874	2.56561	0.978022	0.538341
58.6412	21.7807	2.87599	0.177328	-0.129993	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205	0.512007
58.6444	21.7858	2.94262	0.192947	-0.106137	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205	0.0451314
60.8812	22.7813	2.82737	0.468014	0.134721	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031	0.308011
60.8529	22.7701	2.80727	0.463213	0.132021	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031	0.228698
63.3707	23.4115	2.84621	0.159268	-0.145428	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987	0.356772
63.4527	23.437	2.76116	0.116685	-0.200693	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987	2.10263
66.3032	23.985	3.05245	0.257309	0.0201518	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	1.11773
66.21	23.9541	2.60667	0.21689	-0.048919	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	2.70257
68.2693	24.3595	2.53901	0.184718	-0.0386009	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	0.042438
68.3541	24.3911	2.62361	0.202631	-0.0209309	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	1.96178
70.8102	24.879	2.77871	0.225431	0.00704502	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0.236135
70.7748	24.8634	2.49715	0.189547	-0.0507417	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	0.692957
72.8961	24.7214	2.47622	-0.158945	-0.237284	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	0.159423
72.9437	24.7378	2.49221	-0.157588	-0.243211	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0.660329
75.0145	25.2383	2.13971	0.274893	0.175805	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	1.14681
75.0015	25.2338	2.12109	0.269979	0.172048	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0.0461013
77.1122	24.9476	2.19803	-0.308575	-0.29959	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	0.915466
77.1353	24.9503	2.1672	-0.343256	-0.351747	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	0.203987
79.0998	25.0095	1.91162	0.0582713	0.121502	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	1.47831
79.1071	25.0138	1.90298	0.0603167	0.117916	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0.0339757
80.8044	24.8749	1.95642	-0.0476126	-0.0224398	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0.0884888
80.8479	24.8794	1.83511	-0.110878	-0.129324	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	1.28388
82.5974	24.6368	2.0203	-0.125513	-0.0562742	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0.26492
82.5723	24.6244	1.8713	-0.208465	-0.190174	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0.36263
84.1668	24.5397	1.82501	-0.0299184	0.0336144	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0.252573
84.1659	24.5412	1.75503	-0.0520711	-0.0122581	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0.137826
85.6434	23.8232	1.79266	-0.551297	-0.307426	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	0.397052
85.6994	23.8434	1.8629	-0.497987	-0.245459	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	0.841134
86.9681	23.4965	1.38401	-0.342579	-0.0144211	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	1.06584
87.0732	23.531	1.44012	-0.290832	-0.00328659	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	3.63071
88.7537	22.798	2.06095	-0.391842	-0.0576173	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	1.9227
88.6837	22.7669	1.92651	-0.558766	-0.271298	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	1.06733
89.5651	22.2635	1.13761	-0.674381	-0.207945	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	2.80172
89.6247	22.2791	1.21298	-0.586036	-0.0917955	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	0.736021
90.5065	21.664	1.22332	-0.57485	-0.028313	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	0.0307466
90.5923	21.6884	1.31738	-0.445546	0.0950896	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	1.74037
91.7062	21.1178	1.42742	-0.36299	0.0895266	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	0.0559951
91.7521	21.1261	1.37214	-0.434264	-0.0598542	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	2.13759
92.8543	20.9375	1.27982	-0.0944409	0.175301	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	0.318251
92.9081	20.9623	1.17449	-0.0857637	0.119944	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	2.68242
93.5226	20.254	0.837336	-0.791649	-0.362159	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	2.14048
93.5889	20.2968	1.01923	-0.570242	-0.0980889	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	1.37759
95.2012	19.6633	1.96627	0.0179578	0.327418	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	5.74073
95.0005	19.6543	1.41221	-0.258227	0.0293653	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	7.84246
95.5636	19.6845	0.880589	-0.0636051	0.120938	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	1.73942
